شناسه,نوع,شناسه محصول,نام,منتشر شده,ویژه است؟,کلاس مالیاتی,در انبار؟,انبار,قیمت اصلی,دسته‌ها,مادر,موقعیت قرارگیری,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,ویژگی پیشفرض,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,وزن,درازا (cm),پهنا (cm),بلندا (cm),Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
46483,variation,0728005-03,طناب 5 (10متری) - قرمز,1,0,parent,1,10,7500,,728005,3,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46484,variation,0728005-04,طناب 5 (10متری) - نارنجی,1,0,parent,1,10,7500,,728005,4,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4649,variable,728006,طناب 6 (10متری),1,0,,1,,,سایر لوازم خانگی > متفرقه > طناب,,0,,,1,1,رنگ,"آبی, سبز, قرمز, نارنجی",1,1,قرمز,brand,×,1,1,350,1000,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46491,variation,0728006-01,طناب 6 (10متری) - آبی,1,0,parent,1,10,10000,,728006,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46492,variation,0728006-02,طناب 6 (10متری) - سبز,1,0,parent,1,10,10000,,728006,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46493,variation,0728006-03,طناب 6 (10متری) - قرمز,1,0,parent,1,10,10000,,728006,3,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46494,variation,0728006-04,طناب 6 (10متری) - نارنجی,1,0,parent,1,10,10000,,728006,4,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4650,variable,728008,طناب 8 (10متری),1,0,,1,,,سایر لوازم خانگی > متفرقه > طناب,,0,,,1,1,رنگ,"آبی, سبز, قرمز, نارنجی",1,1,قرمز,brand,×,1,1,580,1000,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46501,variation,0728008-01,طناب 8 (10متری) - آبی,1,0,parent,1,10,20000,,728008,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46502,variation,0728008-02,طناب 8 (10متری) - سبز,1,0,parent,1,10,20000,,728008,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46503,variation,0728008-03,طناب 8 (10متری) - قرمز,1,0,parent,1,10,20000,,728008,3,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46504,variation,0728008-04,طناب 8 (10متری) - نارنجی,1,0,parent,1,10,20000,,728008,4,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4654,variable,746702,سفره 2 نفره,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,قرمز,1,1,قرمز,brand,×,1,1,90,74,50,,ظرفیت,2نفر,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46541,variation,0746702-01,سفره 2 نفره - قرمز,1,0,parent,1,10,7100,,746702,1,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4655,variable,746704,سفره 4 نفره,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,آبی,1,1,آبی,brand,×,1,1,100,100,60,,ظرفیت,4نفر,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46551,variation,0746704-01,سفره 4 نفره - آبی,1,0,parent,1,10,10000,,746704,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4656,variable,746706,سفره 6 نفره,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"کرم, قرمز, بنفش",1,1,قرمز,brand,×,1,1,150,123,74,,ظرفیت,6نفر,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46561,variation,0746706-01,سفره 6 نفره - کرم,1,0,parent,1,10,12700,,746706,1,رنگ,کرم,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46562,variation,0746706-02,سفره 6 نفره - قرمز,1,0,parent,1,10,12700,,746706,2,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46563,variation,0746706-03,سفره 6 نفره - بنفش,1,0,parent,1,10,12700,,746706,3,رنگ,بنفش,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
